Frame,ID,Label,x1,y1,x2,y2
6,12,player,491,437,547,497
6,6,player,771,83,786,127
6,12,player,544,426,580,515
6,12,player,493,437,550,516
6,12,player,543,466,578,516
7,0,player,847,457,907,545
7,9,player,781,194,818,266
7,15,player,505,159,540,225
7,13,player,631,97,658,145
7,2,player,897,185,940,249
7,7,player,960,124,984,178
7,4,player,201,266,243,346
7,10,player,1191,255,1235,340
7,3,player,431,413,504,499
7,1,player,448,154,471,214
7,12,player,547,423,585,515
7,6,player,782,83,800,127
7,5,player,1110,348,1137,443
7,16,player,703,224,740,298
7,12,player,502,441,544,519
8,3,player,439,412,507,497
8,0,player,854,454,919,546
8,2,player,909,185,951,250
8,10,player,1197,255,1248,341
8,13,player,643,96,669,146
8,16,player,713,225,754,297
8,15,player,518,159,549,225
8,4,player,212,266,246,345
8,7,player,972,124,997,180
8,9,player,793,196,826,266
8,17,player,558,419,591,512
8,1,player,461,154,479,215
8,5,player,1115,348,1160,437
8,12,player,504,442,550,520
8,6,player,795,83,813,127
9,10,player,1202,256,1260,343
9,2,player,923,186,959,251
9,0,player,859,450,928,548
9,4,player,219,264,259,345
9,7,player,985,125,1009,180
9,13,player,655,95,678,145
9,3,player,452,412,516,497
9,5,player,1117,346,1157,440
9,1,player,472,154,492,215
9,15,player,529,158,558,226
9,17,player,563,416,594,507
9,9,player,805,197,831,267
9,6,player,805,83,828,128
9,16,player,726,224,767,298
9,12,player,508,442,551,520
9,5,player,1123,367,1158,444
10,0,player,865,449,935,539
10,4,player,230,263,271,346
10,2,player,935,186,965,251
10,10,player,1215,258,1268,344
10,7,player,998,127,1021,182
10,13,player,668,95,688,147
10,12,player,510,438,562,520
10,3,player,467,412,512,494
10,15,player,543,158,571,226
10,5,player,1119,346,1169,444
10,6,player,815,85,842,129
10,9,player,814,197,839,266
10,1,player,484,154,507,216
10,17,player,564,414,602,504
10,16,player,740,224,780,298
11,0,player,872,446,940,534
11,4,player,237,263,283,345
11,7,player,1011,127,1031,182
11,13,player,680,94,701,147
11,15,player,554,158,584,226
11,17,player,571,412,613,504
11,6,player,827,85,856,129
11,1,player,492,154,521,216
11,2,player,945,186,972,251
11,9,player,823,197,850,267
11,3,player,472,410,519,493
11,10,player,1231,259,1277,345
11,5,player,1125,344,1179,441
11,16,player,753,225,794,298
11,12,player,512,438,570,520
12,0,player,881,445,942,533
12,4,player,239,263,293,345
12,5,player,1122,345,1187,440
12,15,player,567,159,599,226
12,2,player,956,185,982,250
12,1,player,501,155,536,216
12,17,player,572,411,621,509
12,7,player,1023,127,1044,182
12,3,player,469,410,529,484
12,13,player,692,95,715,147
12,6,player,841,85,869,129
12,9,player,832,196,863,268
12,10,player,1241,262,1277,345
12,16,player,767,225,806,297
12,3,player,518,436,569,499
13,5,player,1115,347,1170,440
13,2,player,965,185,995,251
13,13,player,704,96,729,149
13,15,player,579,159,613,227
13,9,player,841,196,876,269
13,1,player,513,156,549,217
13,0,player,889,445,941,533
13,4,player,248,264,302,345
13,17,player,569,410,628,517
13,7,player,1035,127,1058,182
13,6,player,855,86,881,129
13,10,player,1247,261,1279,345
13,3,player,470,410,540,484
14,17,player,573,411,632,518
14,0,player,896,445,946,536
14,7,player,1048,127,1072,181
14,15,player,588,160,626,227
14,9,player,847,196,888,268
14,5,player,1117,349,1190,441
14,2,player,976,185,1008,251
14,4,player,262,265,305,345
14,1,player,526,157,561,217
14,13,player,715,97,742,148
14,6,player,868,86,892,129
14,10,player,1260,259,1280,332
14,3,player,488,411,548,477
14,3,player,505,433,573,508
15,0,player,897,443,959,535
15,9,player,854,197,898,269
15,2,player,982,186,1020,251
15,15,player,600,161,638,228
15,5,player,1125,353,1187,442
15,17,player,586,409,633,509
15,7,player,1059,127,1086,183
15,4,player,269,266,307,345
15,1,player,538,157,571,218
15,13,player,725,99,755,150
15,6,player,880,87,902,129
15,3,player,496,413,557,484
15,10,player,1269,253,1280,337
15,16,player,808,225,835,298
16,2,player,988,187,1032,252
16,7,player,1069,128,1100,183
16,17,player,591,409,631,503
16,15,player,612,162,650,228
16,4,player,277,265,307,345
16,9,player,865,198,908,270
16,5,player,1140,353,1179,445
16,1,player,553,158,581,219
16,6,player,893,87,911,131
16,13,player,734,99,766,151
16,0,player,901,441,968,532
16,0,player,901,448,938,526
16,3,player,519,417,581,515
16,3,player,515,440,579,515
16,3,player,506,416,553,491
16,3,player,523,415,570,473
16,0,player,919,444,968,533
16,0,player,901,463,934,526
16,3,player,506,416,534,490
17,2,player,999,189,1042,252
17,7,player,1077,129,1113,183
17,15,player,624,162,660,229
17,9,player,877,200,915,271
17,13,player,748,100,776,151
17,5,player,1148,354,1194,446
17,4,player,284,263,316,347
17,17,player,596,408,628,507
17,6,player,904,87,921,130
17,0,player,905,439,947,507
17,1,player,566,158,588,219
17,3,player,520,415,572,508
17,0,player,907,480,929,526
17,3,player,509,445,557,495
18,4,player,291,264,328,348
18,7,player,1085,132,1126,186
18,5,player,1151,353,1189,446
18,17,player,599,408,632,502
18,15,player,637,163,669,229
18,9,player,886,202,920,272
18,2,player,1013,192,1050,253
18,13,player,759,100,785,152
18,6,player,915,87,933,132
18,1,player,578,158,595,219
18,3,player,545,416,584,487
18,0,player,909,438,948,526
18,0,player,910,438,968,526
18,0,player,910,479,932,526
18,3,player,511,449,572,510
19,4,player,292,264,336,349
19,7,player,1096,135,1138,188
19,5,player,1153,353,1194,449
19,2,player,1022,192,1056,254
19,15,player,647,162,676,230
19,9,player,894,202,923,271
19,6,player,926,87,945,133
19,1,player,588,159,605,221
19,17,player,602,408,636,503
19,13,player,771,101,794,153
19,0,player,913,438,975,527
19,3,player,540,417,585,489
19,0,player,914,438,952,528
19,3,player,520,448,579,512
19,0,player,915,444,943,528
20,4,player,294,266,345,349
20,0,player,916,439,972,527
20,5,player,1156,352,1204,449
20,7,player,1109,137,1149,189
20,2,player,1028,192,1061,254
20,6,player,934,88,958,135
20,9,player,901,202,927,272
20,15,player,660,163,685,231
20,3,player,512,451,543,519
20,17,player,607,408,639,503
20,12,player,545,417,596,493
20,13,player,783,101,804,154
20,1,player,598,159,616,222
20,17,player,605,434,636,502
20,18,player,855,227,887,303
21,5,player,1150,353,1213,448
21,4,player,303,268,350,350
21,7,player,1121,139,1160,191
21,2,player,1038,191,1066,256
21,0,player,917,438,964,527
21,6,player,943,91,968,136
21,9,player,910,202,937,275
21,12,player,550,417,604,491
21,1,player,606,160,627,222
21,3,player,504,455,549,525
21,18,player,864,228,899,304
21,15,player,670,163,691,232
21,13,player,795,101,813,154
21,12,player,611,408,641,503
22,5,player,1145,354,1216,447
22,0,player,918,438,973,528
22,7,player,1133,140,1168,192
22,4,player,314,269,352,351
22,1,player,610,161,639,223
22,6,player,954,91,977,136
22,2,player,1051,191,1075,256
22,12,player,555,416,604,492
22,15,player,680,163,702,232
22,17,player,614,406,651,508
22,9,player,917,202,945,275
22,13,player,804,101,823,156
22,3,player,502,456,562,521
22,9,player,873,230,909,305
23,5,player,1146,355,1215,448
23,0,player,917,435,979,529
23,17,player,617,405,664,511
23,1,player,616,162,649,224
23,7,player,1146,140,1177,192
23,2,player,1057,192,1084,259
23,12,player,563,415,605,490
23,3,player,507,457,566,523
23,6,player,964,92,983,138
23,4,player,323,270,351,350
23,13,player,813,102,832,156
23,15,player,688,163,711,233
23,19,player,923,203,954,276
23,9,player,882,232,919,305
24,12,player,565,412,610,488
24,0,player,912,433,977,524
24,5,player,1147,358,1215,449
24,2,player,1060,193,1091,258
24,1,player,623,162,657,224
24,7,player,1155,139,1183,194
24,17,player,620,405,666,509
24,15,player,694,163,719,233
24,4,player,325,269,352,350
24,6,player,971,92,988,138
24,19,player,927,204,958,277
24,13,player,817,101,839,157
24,3,player,513,459,553,522
24,9,player,891,232,926,306
25,12,player,564,412,612,488
25,5,player,1152,359,1210,450
25,0,player,905,431,972,521
25,2,player,1060,194,1095,258
25,17,player,618,403,668,508
25,1,player,629,163,662,224
25,4,player,323,268,353,351
25,7,player,1160,138,1188,195
25,3,player,511,459,565,522
25,13,player,819,102,845,157
25,15,player,694,164,726,234
25,6,player,975,93,991,139
25,9,player,929,207,959,276
25,9,player,897,233,929,306
26,17,player,614,404,670,506
26,12,player,555,412,608,488
26,0,player,904,431,959,520
26,4,player,319,267,353,352
26,2,player,1062,196,1096,256
26,7,player,1162,138,1193,195
26,15,player,695,163,729,235
26,1,player,632,163,663,225
26,3,player,508,461,553,521
26,6,player,977,91,994,139
26,13,player,820,103,849,158
26,9,player,930,208,956,276
26,5,player,1160,360,1194,434
26,5,player,1156,397,1185,449
27,17,player,607,405,668,507
27,12,player,552,413,605,488
27,4,player,309,267,352,352
27,5,player,1151,360,1188,449
27,7,player,1165,137,1196,195
27,0,player,898,431,939,520
27,15,player,696,164,730,235
27,3,player,506,458,553,522
27,1,player,634,163,663,224
27,2,player,1061,198,1092,255
27,9,player,929,209,951,274
27,6,player,978,92,994,137
27,6,player,977,105,992,140
27,13,player,822,104,851,158
28,4,player,303,269,348,352
28,0,player,883,431,927,521
28,12,player,551,416,606,489
28,5,player,1142,359,1182,450
28,15,player,696,164,730,235
28,7,player,1167,137,1197,196
28,13,player,822,105,851,158
28,2,player,1059,200,1088,260
28,17,player,604,408,655,498
28,6,player,974,92,993,141
28,1,player,634,163,660,224
28,9,player,927,209,945,275
28,3,player,496,457,545,522
29,5,player,1124,358,1175,450
29,0,player,865,430,929,520
29,4,player,301,269,343,353
29,3,player,483,452,544,523
29,12,player,547,417,605,488
29,13,player,822,106,851,158
29,12,player,594,411,643,502
29,6,player,973,94,991,140
29,15,player,697,164,729,235
29,2,player,1059,200,1083,260
29,7,player,1170,137,1202,197
29,9,player,922,209,943,275
29,1,player,635,162,655,223
30,5,player,1108,359,1167,450
30,12,player,589,412,638,506
30,4,player,302,271,335,354
30,12,player,548,417,600,487
30,2,player,1056,198,1078,260
30,13,player,821,106,848,158
30,3,player,479,449,537,525
30,6,player,972,94,990,140
30,7,player,1170,138,1203,197
30,15,player,696,165,726,234
30,1,player,634,162,651,223
30,9,player,917,208,942,275
30,0,player,851,428,897,494
30,3,player,496,449,538,508
30,0,player,851,428,912,509
30,0,player,848,471,878,515
31,5,player,1098,361,1159,447
31,3,player,479,445,532,526
31,4,player,300,270,328,354
31,12,player,548,414,598,488
31,2,player,1053,197,1076,261
31,15,player,697,163,722,233
31,6,player,970,95,988,141
31,13,player,821,106,846,158
31,7,player,1170,139,1202,198
31,0,player,831,427,884,490
31,0,player,829,432,880,516
31,9,player,912,209,940,275
31,12,player,584,414,640,503
31,1,player,633,162,648,224
31,0,player,829,463,866,515
32,4,player,296,271,323,353
32,3,player,480,443,527,526
32,5,player,1088,364,1151,448
32,15,player,696,163,717,232
32,6,player,969,95,986,141
32,13,player,820,104,843,157
32,7,player,1170,140,1202,198
32,2,player,1049,198,1072,261
32,12,player,548,411,593,489
32,0,player,816,426,868,511
32,1,player,629,162,646,224
32,9,player,907,208,930,245
32,0,player,837,426,869,490
32,12,player,578,411,613,501
33,5,player,1087,365,1140,448
33,3,player,478,440,520,526
33,6,player,966,96,984,140
33,2,player,1043,197,1070,263
33,4,player,290,270,318,354
33,7,player,1169,141,1202,198
33,13,player,820,104,840,157
33,1,player,621,162,644,225
33,12,player,549,407,604,495
33,15,player,694,163,712,233
33,0,player,814,472,834,520
33,9,player,900,209,922,254
33,0,player,828,425,854,489
33,12,player,576,454,603,504
34,5,player,1087,364,1134,447
34,12,player,547,404,604,501
34,6,player,962,96,982,142
34,3,player,471,437,516,525
34,4,player,283,270,314,357
34,2,player,1038,197,1067,264
34,1,player,618,163,643,225
34,7,player,1168,141,1201,198
34,15,player,691,163,708,232
34,13,player,819,104,837,157
34,9,player,893,210,917,279
34,0,player,811,423,859,520
34,0,player,810,425,835,520
34,12,player,573,426,603,506
34,12,player,575,459,601,506
35,3,player,464,434,512,525
35,2,player,1037,199,1063,264
35,12,player,539,408,594,506
35,0,player,801,420,837,519
35,5,player,1087,363,1127,448
35,4,player,278,271,309,357
35,6,player,961,95,981,142
35,1,player,614,163,642,225
35,7,player,1167,141,1201,198
35,13,player,814,102,836,158
35,15,player,685,163,707,232
35,9,player,888,211,912,283
35,12,player,576,404,607,496
35,12,player,583,404,607,474
36,3,player,460,432,510,525
36,4,player,266,273,305,357
36,2,player,1033,200,1060,265
36,12,player,528,409,589,504
36,1,player,612,164,642,225
36,0,player,790,417,831,513
36,6,player,960,95,980,141
36,7,player,1168,141,1201,198
36,5,player,1085,360,1123,450
36,15,player,680,163,707,234
36,13,player,810,103,835,158
36,9,player,884,211,908,280
36,12,player,579,403,610,488
37,3,player,458,430,508,526
37,12,player,520,409,587,505
37,4,player,256,274,302,357
37,0,player,777,415,819,509
37,15,player,678,164,707,233
37,2,player,1030,201,1058,264
37,1,player,610,164,642,225
37,6,player,960,94,978,142
37,12,player,578,405,612,485
37,9,player,880,210,905,279
37,7,player,1170,141,1201,198
37,13,player,808,103,834,159
37,5,player,1083,358,1119,425
37,5,player,1076,392,1101,448
37,20,player,1268,321,1280,376
38,3,player,456,428,506,529
38,12,player,521,408,583,504
38,4,player,249,275,298,357
38,15,player,674,164,707,233
38,1,player,609,164,639,226
38,12,player,582,407,614,486
38,2,player,1027,201,1056,264
38,6,player,959,94,977,142
38,9,player,876,210,902,278
38,0,player,764,415,807,509
38,7,player,1172,140,1202,198
38,5,player,1066,387,1099,448
38,13,player,806,104,832,159
38,10,player,1267,292,1280,369
38,5,player,1082,357,1114,424
38,5,player,1071,357,1115,438
39,3,player,453,428,502,532
39,12,player,520,408,582,506
39,4,player,246,277,295,358
39,15,player,672,165,707,234
39,17,player,584,409,618,487
39,2,player,1026,201,1054,265
39,9,player,872,210,898,279
39,6,player,958,94,976,143
39,1,player,608,164,638,226
39,7,player,1173,140,1202,199
39,13,player,805,104,831,159
39,5,player,1057,357,1110,449
39,10,player,1266,284,1280,368
39,0,player,751,458,776,510
39,0,player,757,416,795,477
39,0,player,751,449,783,510
40,3,player,452,429,500,534
40,4,player,244,276,293,358
40,15,player,671,165,706,234
40,12,player,520,406,573,505
40,6,player,957,95,975,143
40,2,player,1026,200,1052,266
40,17,player,584,410,622,488
40,1,player,606,165,635,227
40,9,player,865,210,896,281
40,7,player,1175,139,1203,199
40,13,player,804,105,830,159
40,10,player,1261,283,1280,367
40,0,player,730,444,777,508
40,5,player,1051,380,1096,449
40,5,player,1064,358,1105,431
40,5,player,1051,391,1088,449
40,0,player,734,417,779,493
40,0,player,749,417,779,483
41,12,player,519,402,564,504
41,3,player,449,430,498,534
41,4,player,244,277,290,359
41,15,player,670,166,705,235
41,2,player,1023,200,1049,267
41,6,player,955,95,974,144
41,17,player,584,411,627,489
41,9,player,861,212,891,283
41,1,player,606,165,630,227
41,13,player,803,105,830,160
41,10,player,1254,282,1280,368
41,7,player,1176,140,1203,199
41,5,player,1066,359,1100,432
41,0,player,716,460,759,507
41,0,player,742,419,769,481
41,5,player,1045,396,1074,448
41,0,player,717,419,769,502
42,0,player,704,422,759,509
42,3,player,443,431,495,535
42,4,player,244,275,288,359
42,15,player,668,166,703,234
42,2,player,1019,202,1047,267
42,17,player,584,410,637,489
42,6,player,953,95,973,144
42,12,player,516,401,558,503
42,9,player,855,213,887,285
42,7,player,1177,140,1204,199
42,13,player,802,106,829,160
42,1,player,606,164,627,227
42,5,player,1059,362,1096,433
42,10,player,1249,281,1280,367
42,5,player,1039,398,1072,450
42,5,player,1040,387,1078,451
43,17,player,586,408,634,487
43,12,player,511,398,551,502
43,3,player,438,431,494,535
43,6,player,951,96,972,145
43,4,player,243,275,285,358
43,9,player,854,215,882,285
43,2,player,1016,203,1045,269
43,0,player,701,425,750,511
43,5,player,1033,365,1090,453
43,15,player,667,166,700,235
43,7,player,1176,142,1204,200
43,10,player,1238,282,1279,369
43,13,player,802,106,828,161
43,1,player,606,165,625,228
44,3,player,433,431,492,536
44,4,player,243,274,281,359
44,12,player,505,397,544,502
44,6,player,950,97,971,146
44,15,player,667,166,695,236
44,2,player,1014,205,1041,270
44,7,player,1175,144,1204,202
44,17,player,591,407,637,486
44,10,player,1230,283,1275,369
44,5,player,1030,388,1078,455
44,9,player,852,217,875,285
44,13,player,802,107,826,161
44,1,player,604,166,623,229
44,5,player,1050,367,1086,433
44,0,player,696,444,748,512
44,0,player,696,457,724,511
44,5,player,1036,367,1086,448
45,0,player,680,424,746,511
45,10,player,1225,283,1271,370
45,3,player,430,430,490,537
45,17,player,597,404,642,485
45,12,player,499,396,536,501
45,4,player,242,274,275,359
45,13,player,800,107,823,161
45,2,player,1011,206,1037,270
45,6,player,949,99,968,147
45,7,player,1174,146,1205,202
45,9,player,845,218,870,286
45,5,player,1026,382,1076,457
45,15,player,668,167,691,236
45,1,player,600,166,620,229
45,5,player,1034,368,1081,449
45,5,player,1055,368,1081,430
45,5,player,1046,369,1081,438
45,21,player,1264,94,1279,115
46,10,player,1221,285,1264,372
46,3,player,428,430,485,537
46,0,player,671,421,738,509
46,12,player,490,397,529,501
46,17,player,607,403,659,485
46,2,player,1007,205,1033,271
46,4,player,240,273,268,358
46,7,player,1173,148,1205,203
46,6,player,948,99,966,146
46,9,player,839,219,863,286
46,1,player,595,166,618,229
46,15,player,665,166,685,236
46,13,player,799,107,821,161
46,5,player,1041,368,1076,447
46,5,player,1024,382,1063,457
46,5,player,1024,400,1060,456
46,5,player,1025,369,1072,455
47,10,player,1220,287,1257,373
47,0,player,667,418,726,505
47,5,player,1022,368,1072,452
47,17,player,607,402,659,485
47,1,player,588,167,616,230
47,2,player,1004,206,1028,270
47,7,player,1171,149,1205,203
47,6,player,945,98,964,146
47,12,player,482,397,520,498
47,4,player,237,272,263,358
47,3,player,427,467,470,539
47,9,player,832,217,858,287
47,15,player,661,167,680,237
47,13,player,799,108,819,152
47,3,player,451,432,481,495
47,13,player,799,126,813,162
48,5,player,1018,369,1068,456
48,1,player,583,167,614,230
48,10,player,1215,288,1251,374
48,2,player,999,206,1023,271
48,7,player,1169,149,1205,204
48,17,player,611,399,654,486
48,0,player,664,414,716,498
48,6,player,943,98,961,146
48,3,player,472,399,513,501
48,4,player,233,272,257,357
48,9,player,824,217,853,288
48,22,player,422,464,469,541
48,15,player,657,167,677,236
48,13,player,797,107,816,161
48,3,player,449,433,475,499
48,3,player,440,436,474,534
48,21,player,1258,71,1278,115
49,5,player,1014,370,1065,459
49,10,player,1203,289,1245,372
49,17,player,614,396,656,481
49,0,player,664,450,694,494
49,1,player,579,167,611,230
49,9,player,815,218,849,289
49,2,player,992,205,1018,272
49,3,player,418,466,463,543
49,6,player,940,98,958,147
49,12,player,469,402,505,504
49,15,player,653,166,673,237
49,0,player,680,410,707,467
49,7,player,1166,149,1204,204
49,13,player,793,107,812,162
49,4,player,227,273,252,359
49,3,player,444,434,470,504
50,5,player,1005,373,1060,461
50,10,player,1198,289,1239,374
50,17,player,618,395,655,474
50,2,player,985,205,1013,273
50,1,player,577,168,607,231
50,6,player,937,99,955,147
50,0,player,656,443,688,495
50,4,player,219,273,245,359
50,3,player,463,405,497,505
50,9,player,806,219,843,292
50,7,player,1163,148,1205,205
50,22,player,411,470,461,544
50,0,player,676,407,701,470
50,15,player,645,168,668,237
50,13,player,791,109,809,163
50,3,player,437,438,467,509
51,10,player,1190,289,1231,377
51,5,player,997,375,1055,464
51,17,player,616,394,650,473
51,15,player,636,168,664,238
51,2,player,978,208,1008,275
51,1,player,572,169,602,231
51,0,player,672,403,696,466
51,6,player,933,100,950,148
51,0,player,651,439,683,494
51,4,player,210,274,239,360
51,7,player,1162,148,1203,205
51,9,player,800,220,837,292
51,3,player,459,405,490,506
51,13,player,785,109,804,164
51,22,player,406,472,458,544
51,3,player,433,442,461,511
52,5,player,993,378,1049,466
52,10,player,1178,290,1223,379
52,0,player,613,394,653,473
52,15,player,629,168,660,238
52,3,player,452,403,485,505
52,1,player,568,169,597,232
52,2,player,973,209,1002,276
52,22,player,401,442,456,544
52,7,player,1161,147,1200,205
52,6,player,929,102,946,149
52,4,player,201,273,233,361
52,9,player,793,222,828,293
52,13,player,778,110,799,165
52,0,player,663,400,690,462
52,18,player,898,238,925,313
52,0,player,641,414,686,493
52,0,player,646,400,690,464
53,10,player,1168,292,1214,380
53,0,player,608,392,653,477
53,5,player,989,381,1043,468
53,2,player,968,212,996,276
53,15,player,621,170,655,239
53,4,player,194,275,227,362
53,1,player,563,169,592,232
53,7,player,1161,147,1196,206
53,22,player,397,441,451,545
53,3,player,445,401,479,506
53,6,player,925,104,942,151
53,13,player,773,111,794,165
53,0,player,645,397,685,487
53,9,player,785,224,818,294
54,10,player,1159,296,1205,382
54,5,player,982,381,1041,471
54,15,player,615,171,650,239
54,4,player,187,276,222,362
54,2,player,962,212,989,277
54,7,player,1162,147,1190,206
54,0,player,607,390,653,473
54,13,player,767,112,788,166
54,22,player,395,442,444,546
54,1,player,558,170,584,233
54,6,player,919,104,937,152
54,3,player,436,401,469,504
54,0,player,633,396,679,483
54,9,player,777,224,811,294
54,0,player,615,392,668,480
54,18,player,891,240,918,314
55,10,player,1152,299,1195,384
55,5,player,977,382,1037,473
55,22,player,391,440,440,547
55,2,player,956,213,982,278
55,7,player,1160,148,1186,207
55,4,player,181,277,216,363
55,15,player,610,172,644,241
55,1,player,552,171,575,233
55,6,player,913,107,931,153
55,9,player,770,224,804,297
55,3,player,430,399,459,467
55,0,player,626,397,675,479
55,0,player,608,390,656,471
55,0,player,611,390,674,477
56,10,player,1137,301,1184,383
56,5,player,976,381,1035,474
56,4,player,174,277,211,364
56,2,player,951,213,976,279
56,0,player,625,389,671,477
56,15,player,605,173,638,242
56,9,player,766,226,795,299
56,22,player,388,467,434,548
56,6,player,907,109,926,155
56,13,player,756,115,776,168
56,7,player,1157,149,1180,208
56,1,player,546,171,565,235
56,3,player,419,397,449,463
56,0,player,614,390,646,474
56,3,player,410,442,438,501
56,0,player,615,390,660,472
56,5,player,977,406,1032,473
57,10,player,1127,303,1177,385
57,5,player,975,381,1034,474
57,15,player,597,174,631,242
57,4,player,167,278,204,364
57,3,player,383,441,430,547
57,2,player,944,214,969,280
57,9,player,756,226,786,301
57,0,player,613,388,667,478
57,13,player,750,116,770,169
57,7,player,1151,151,1175,210
57,23,player,409,393,442,461
57,6,player,901,110,920,156
57,1,player,538,172,556,235
58,5,player,978,380,1032,475
58,10,player,1121,303,1167,388
58,0,player,608,386,663,475
58,4,player,162,279,197,365
58,3,player,379,444,425,547
58,6,player,895,111,915,157
58,2,player,936,215,962,282
58,7,player,1145,153,1169,211
58,15,player,592,175,623,243
58,9,player,745,228,778,303
58,13,player,743,117,763,170
58,1,player,531,175,548,238
58,23,player,400,392,435,456
59,5,player,982,381,1030,473
59,3,player,372,445,423,552
59,10,player,1119,303,1158,391
59,6,player,889,113,908,158
59,15,player,584,175,615,244
59,7,player,1137,157,1164,212
59,2,player,928,216,955,284
59,1,player,521,175,540,238
59,9,player,736,230,768,305
59,4,player,154,279,189,365
59,0,player,601,389,645,473
59,13,player,737,117,756,171
59,23,player,390,391,425,462
59,0,player,632,383,665,463
59,0,player,620,384,666,469
60,7,player,1130,160,1160,213
60,3,player,363,448,420,553
60,5,player,984,381,1028,472
60,10,player,1113,304,1150,394
60,6,player,883,112,902,159
60,4,player,148,279,180,366
60,2,player,919,217,948,286
60,9,player,728,234,759,307
60,1,player,512,176,532,238
60,15,player,578,176,605,244
60,13,player,730,118,749,172
60,23,player,381,391,417,481
60,0,player,593,390,642,471
60,0,player,632,381,665,446
60,21,player,1260,74,1279,125
61,3,player,356,451,418,554
61,5,player,982,383,1026,472
61,7,player,1123,164,1157,213
61,10,player,1107,305,1141,394
61,6,player,876,112,896,158
61,1,player,501,176,525,240
61,2,player,913,219,940,286
61,0,player,585,391,641,469
61,23,player,368,392,408,491
61,9,player,721,235,749,306
61,15,player,571,177,595,245
61,13,player,723,118,742,172
61,4,player,140,281,171,367
61,0,player,628,380,669,448
62,7,player,1115,165,1152,215
62,10,player,1099,305,1133,394
62,2,player,905,220,934,288
62,1,player,491,177,517,241
62,3,player,348,453,414,555
62,5,player,980,384,1023,465
62,6,player,870,112,890,159
62,0,player,580,393,629,466
62,23,player,358,393,399,496
62,13,player,716,119,735,173
62,9,player,712,236,740,307
62,15,player,561,177,587,246
62,0,player,622,380,668,459
62,4,player,133,281,161,367
62,16,player,846,249,879,323
63,3,player,343,455,407,555
63,10,player,1090,307,1125,395
63,7,player,1108,166,1148,215
63,5,player,976,385,1019,474
63,23,player,348,397,390,498
63,6,player,866,112,884,159
63,1,player,484,178,510,242
63,0,player,571,393,628,466
63,2,player,898,220,926,288
63,4,player,126,282,151,368
63,15,player,552,178,579,247
63,9,player,700,237,732,308
63,0,player,624,379,666,447
63,13,player,708,119,729,174
63,16,player,842,249,873,323
64,5,player,969,384,1017,474
64,10,player,1079,308,1117,396
64,23,player,340,400,384,497
64,2,player,889,222,918,288
64,3,player,338,453,401,556
64,17,player,565,393,624,467
64,6,player,860,113,879,162
64,0,player,618,379,664,451
64,7,player,1103,166,1146,215
64,15,player,543,178,571,249
64,1,player,477,179,501,242
64,4,player,119,282,144,368
64,13,player,700,119,721,175
64,9,player,691,237,724,310
